"month"	"hits"	"regex"	"usergroup"
"201204"	115	"misc"	"registered"
"201205"	79	"misc"	"registered"
"201206"	133	"misc"	"registered"
"201207"	140	"misc"	"registered"
"201208"	133	"misc"	"registered"
"201209"	88	"misc"	"registered"
"201210"	132	"misc"	"registered"
"201211"	107	"misc"	"registered"
"201212"	113	"misc"	"registered"
"201301"	113	"misc"	"registered"
"201302"	93	"misc"	"registered"
"201303"	83	"misc"	"registered"
"201304"	118	"misc"	"registered"
"201305"	89	"misc"	"registered"
"201306"	80	"misc"	"registered"
"201307"	100	"misc"	"registered"
"201308"	97	"misc"	"registered"
"201309"	65	"misc"	"registered"
"201310"	119	"misc"	"registered"
"201311"	89	"misc"	"registered"
"201312"	140	"misc"	"registered"
"201401"	145	"misc"	"registered"
