"month"	"hits"	"regex"	"usergroup"
"200707"	617	"proxy"	"anonymous"
"200708"	1918	"proxy"	"anonymous"
"200709"	2206	"proxy"	"anonymous"
"200710"	176	"proxy"	"anonymous"
"200711"	357	"proxy"	"anonymous"
"200712"	224	"proxy"	"anonymous"
"200801"	466	"proxy"	"anonymous"
"200802"	289	"proxy"	"anonymous"
"200803"	337	"proxy"	"anonymous"
"200804"	466	"proxy"	"anonymous"
"200805"	1971	"proxy"	"anonymous"
"200806"	820	"proxy"	"anonymous"
"200807"	2534	"proxy"	"anonymous"
"200808"	940	"proxy"	"anonymous"
"200809"	689	"proxy"	"anonymous"
"200810"	1011	"proxy"	"anonymous"
"200811"	542	"proxy"	"anonymous"
"200812"	2750	"proxy"	"anonymous"
"200901"	4384	"proxy"	"anonymous"
"200902"	6322	"proxy"	"anonymous"
"200903"	7210	"proxy"	"anonymous"
"200904"	16212	"proxy"	"anonymous"
"200905"	13153	"proxy"	"anonymous"
"200906"	14389	"proxy"	"anonymous"
"200907"	2306	"proxy"	"anonymous"
"200908"	478	"proxy"	"anonymous"
"200909"	192	"proxy"	"anonymous"
"200910"	13700	"proxy"	"anonymous"
"200911"	9144	"proxy"	"anonymous"
"200912"	12277	"proxy"	"anonymous"
"201001"	15383	"proxy"	"anonymous"
"201002"	11336	"proxy"	"anonymous"
"201003"	13481	"proxy"	"anonymous"
"201004"	5280	"proxy"	"anonymous"
"201005"	7107	"proxy"	"anonymous"
"201006"	6205	"proxy"	"anonymous"
"201007"	4008	"proxy"	"anonymous"
"201008"	6119	"proxy"	"anonymous"
"201009"	9201	"proxy"	"anonymous"
"201010"	11331	"proxy"	"anonymous"
"201011"	11440	"proxy"	"anonymous"
"201012"	5841	"proxy"	"anonymous"
"201101"	16768	"proxy"	"anonymous"
"201102"	14656	"proxy"	"anonymous"
"201103"	16121	"proxy"	"anonymous"
"201104"	8681	"proxy"	"anonymous"
"201105"	9012	"proxy"	"anonymous"
"201106"	9118	"proxy"	"anonymous"
"201107"	9300	"proxy"	"anonymous"
"201108"	34577	"proxy"	"anonymous"
"201109"	32404	"proxy"	"anonymous"
"201110"	25308	"proxy"	"anonymous"
"201111"	24133	"proxy"	"anonymous"
"201112"	9997	"proxy"	"anonymous"
"201201"	10192	"proxy"	"anonymous"
"201202"	7180	"proxy"	"anonymous"
"201203"	11416	"proxy"	"anonymous"
"201204"	7722	"proxy"	"anonymous"
"201205"	10319	"proxy"	"anonymous"
"201206"	7002	"proxy"	"anonymous"
"201207"	6091	"proxy"	"anonymous"
"201208"	30871	"proxy"	"anonymous"
"201209"	49793	"proxy"	"anonymous"
"201210"	32969	"proxy"	"anonymous"
"201211"	24209	"proxy"	"anonymous"
"201212"	5227	"proxy"	"anonymous"
"201301"	13660	"proxy"	"anonymous"
"201302"	6853	"proxy"	"anonymous"
"201303"	4719	"proxy"	"anonymous"
"201304"	4838	"proxy"	"anonymous"
"201305"	18398	"proxy"	"anonymous"
"201306"	41289	"proxy"	"anonymous"
"201307"	54796	"proxy"	"anonymous"
"201308"	47217	"proxy"	"anonymous"
"201309"	205	"proxy"	"anonymous"
"201310"	87436	"proxy"	"anonymous"
"201311"	140544	"proxy"	"anonymous"
"201312"	67398	"proxy"	"anonymous"
"201401"	21965	"proxy"	"anonymous"
"200601"	1778	"misc"	"anonymous"
"200602"	3005	"misc"	"anonymous"
"200603"	2412	"misc"	"anonymous"
"200604"	4196	"misc"	"anonymous"
"200605"	3062	"misc"	"anonymous"
"200606"	2879	"misc"	"anonymous"
"200607"	1862	"misc"	"anonymous"
"200608"	2274	"misc"	"anonymous"
"200609"	1767	"misc"	"anonymous"
"200610"	1908	"misc"	"anonymous"
"200611"	1489	"misc"	"anonymous"
"200612"	1025	"misc"	"anonymous"
"200701"	1602	"misc"	"anonymous"
"200702"	1160	"misc"	"anonymous"
"200703"	1092	"misc"	"anonymous"
"200704"	1253	"misc"	"anonymous"
"200705"	7221	"misc"	"anonymous"
"200706"	1476	"misc"	"anonymous"
"200707"	877	"misc"	"anonymous"
"200708"	1345	"misc"	"anonymous"
"200709"	2975	"misc"	"anonymous"
"200710"	649	"misc"	"anonymous"
"200711"	463	"misc"	"anonymous"
"200712"	393	"misc"	"anonymous"
"200801"	470	"misc"	"anonymous"
"200802"	457	"misc"	"anonymous"
"200803"	606	"misc"	"anonymous"
"200804"	2861	"misc"	"anonymous"
"200805"	506	"misc"	"anonymous"
"200806"	418	"misc"	"anonymous"
"200807"	306	"misc"	"anonymous"
"200808"	250	"misc"	"anonymous"
"200809"	266	"misc"	"anonymous"
"200810"	284	"misc"	"anonymous"
"200811"	252	"misc"	"anonymous"
"200812"	287	"misc"	"anonymous"
"200901"	431	"misc"	"anonymous"
"200902"	1285	"misc"	"anonymous"
"200903"	840	"misc"	"anonymous"
"200904"	352	"misc"	"anonymous"
"200905"	722	"misc"	"anonymous"
"200906"	342	"misc"	"anonymous"
"200907"	145	"misc"	"anonymous"
"200908"	217	"misc"	"anonymous"
"200909"	196	"misc"	"anonymous"
"200910"	165	"misc"	"anonymous"
"200911"	143	"misc"	"anonymous"
"200912"	112	"misc"	"anonymous"
"201001"	139	"misc"	"anonymous"
"201002"	127	"misc"	"anonymous"
"201003"	247	"misc"	"anonymous"
"201004"	145	"misc"	"anonymous"
"201005"	102	"misc"	"anonymous"
"201006"	123	"misc"	"anonymous"
